metabolite,mean,std
Total Cholesterol,4.698292218277286,0.9539648468334668
Total Cholesterol Minus HDL-C,3.373469988569595,0.853654621023446
"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)",1.5896241989602098,0.4203771479094185
VLDL Cholesterol,0.7415802332425487,0.2469387099021105
Clinical LDL Cholesterol,2.602304538358972,0.740169701742536
LDL Cholesterol,1.7838457097713971,0.4482622221750069
HDL Cholesterol,1.324822226292643,0.324377906683071
Total Triglycerides,1.372138911359294,0.6051888516775922
Triglycerides in VLDL,0.9706850928171784,0.5084047422530393
Triglycerides in LDL,0.1502775227149356,0.0427243728137752
Triglycerides in HDL,0.1484874697478845,0.0485560814751495
Total Phospholipids in Lipoprotein Particles,2.9726718920690183,0.4785699266241219
Phospholipids in VLDL,0.4901491892038273,0.1833137411130543
Phospholipids in LDL,0.6208302119230483,0.1433395820165449
Phospholipids in HDL,1.56550763741951,0.3177463075509091
Total Esterified Cholesterol,3.411830910698465,0.6865195587225292
Cholesteryl Esters in VLDL,0.4404859222614757,0.1428985614432545
Cholesteryl Esters in LDL,1.3102558874466832,0.3300853524402891
Cholesteryl Esters in HDL,1.0300869460245172,0.2545521466880734
Total Free Cholesterol,1.2864613665845572,0.2728119736760308
Free Cholesterol in VLDL,0.3010943021092661,0.1082465900476976
Free Cholesterol in LDL,0.4735898348047716,0.1229775496033845
Free Cholesterol in HDL,0.2947352558963579,0.0723396869718811
Total Lipids in Lipoprotein Particles,9.043103254005404,1.686946642671037
Total Lipids in VLDL,2.202414482634666,0.8854379758824077
Total Lipids in LDL,2.554953413035724,0.6128998268363653
Total Lipids in HDL,3.038817274522672,0.6380411685540773
Total Concentration of Lipoprotein Particles,0.0171088304492746,0.0025647585080352
Concentration of VLDL Particles,0.0001495337494718,4.503146186945249e-05
Concentration of LDL Particles,0.0012253090779349,0.0002879138379646
Concentration of HDL Particles,0.0154225472484976,0.0024528345258151
Average Diameter for VLDL Particles,38.77537390979423,1.2079220458315372
Average Diameter for LDL Particles,23.92804342681195,0.090080270792431
Average Diameter for HDL Particles,9.629547548212336,0.2006890385297082
Phosphoglycerides,2.325530964316225,0.4040060141623235
Triglycerides to Phosphoglycerides ratio,0.5901650449244265,0.2290556360630961
Total Cholines,2.608958060766967,0.4168327959256773
Phosphatidylcholines,2.13269497922484,0.3801694163610176
Sphingomyelins,0.4567056247187993,0.0732594672429766
Apolipoprotein B,0.8650634645476203,0.2029937180150265
Apolipoprotein A1,1.4680554376845023,0.2435341515786791
Apolipoprotein B to Apolipoprotein A1 ratio,0.6032727132504855,0.1661564967061022
Total Fatty Acids,12.322629892911865,2.485259711413677
Degree of Unsaturation,1.3549882396488404,0.0800053955840991
Omega-3 Fatty Acids,0.540716752712547,0.2229784854452098
Omega-6 Fatty Acids,4.58022079687538,0.7001288791573084
Polyunsaturated Fatty Acids,5.120937543286694,0.8232932196338512
Monounsaturated Fatty Acids,2.9907991505023674,0.8584036692215065
Saturated Fatty Acids,4.21089346236858,0.98973034688534
Linoleic Acid,3.5281730774590256,0.7009412274150404
Docosahexaenoic Acid,0.2386191897368399,0.084356109657467
Omega-3 Fatty Acids to Total Fatty Acids percentage,4.363615267656156,1.5084144030026618
Omega-6 Fatty Acids to Total Fatty Acids percentage,37.65003254548075,3.618586099185087
Polyunsaturated Fatty Acids to Total Fatty Acids percentage,42.01364752540975,3.745633975094964
Monounsaturated Fatty Acids to Total Fatty Acids percentage,23.97370192942971,2.6289570568116707
Saturated Fatty Acids to Total Fatty Acids percentage,34.012650680526896,1.9631755859166329
Linoleic Acid to Total Fatty Acids percentage,28.839810529734734,3.4368665415875945
Docosahexaenoic Acid to Total Fatty Acids percentage,1.9684781731446608,0.6591251917393453
Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio,1.7875723115644346,0.3315210561851512
Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio,9.76683034842024,4.228537002643742
Alanine,0.3033955218033871,0.078146659960509
Glutamine,0.5597580584908037,0.085727947130981
Glycine,0.1753993387691362,0.0676596403193441
Histidine,0.066159816426302,0.0109375832611403
Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine),0.3747386145179373,0.0886508527501766
Isoleucine,0.052934446898616,0.0185260229503513
Leucine,0.1072042784155881,0.0293146090209305
Valine,0.2145999020057667,0.044088424060301
Phenylalanine,0.0482745650474808,0.0112042343369852
Tyrosine,0.0640641311804419,0.0145668457399546
Glucose,3.721254728507801,1.1744533269935284
Lactate,4.07196116280897,1.1552897329481553
Pyruvate,0.0837488133943608,0.030201908730257
Citrate,0.0674732973921998,0.0134171925872801
3-Hydroxybutyrate,0.0624364159279774,0.0598185367260175
Acetate,0.0162331162643893,0.0125492922270562
Acetoacetate,0.0133451186539972,0.012254210776447
Acetone,0.0143401233097729,0.0054427370071953
Creatinine,0.0687562325883391,0.0146401578599071
Albumin,39.72408313383514,3.4084442107168145
Glycoprotein Acetyls,0.8246356288346487,0.1215058767891546
Concentration of Chylomicrons and Extremely Large VLDL Particles,1.783384395775161e-06,1.5290209993179534e-06
Total Lipids in Chylomicrons and Extremely Large VLDL,0.2319484509301748,0.2070049005347584
Phospholipids in Chylomicrons and Extremely Large VLDL,0.0364449875483276,0.0319061743406385
Cholesterol in Chylomicrons and Extremely Large VLDL,0.0575379664519485,0.0428270715394311
Cholesteryl Esters in Chylomicrons and Extremely Large VLDL,0.0320584225347365,0.0237203686406665
Free Cholesterol in Chylomicrons and Extremely Large VLDL,0.025479546033999,0.0193758018730865
Triglycerides in Chylomicrons and Extremely Large VLDL,0.137965494762425,0.1340805526733539
Concentration of Very Large VLDL Particles,3.755391119946582e-06,2.339617799175058e-06
Total Lipids in Very Large VLDL,0.2168272075545132,0.1394098203509074
Phospholipids in Very Large VLDL,0.0408125685980484,0.0266069572088005
Cholesterol in Very Large VLDL,0.0564923837516601,0.0290400407682176
Cholesteryl Esters in Very Large VLDL,0.0316271911993565,0.014858066006493
Free Cholesterol in Very Large VLDL,0.0248651937599368,0.0146622943742563
Triglycerides in Very Large VLDL,0.1195222571574836,0.0859033043318207
Concentration of Large VLDL Particles,1.0971005839504672e-05,5.77178134023072e-06
Total Lipids in Large VLDL,0.3540421120586377,0.1868916404210898
Phospholipids in Large VLDL,0.0709485535967106,0.0409548609258546
Cholesterol in Large VLDL,0.1034110996722684,0.0487814991900507
Cholesteryl Esters in Large VLDL,0.054005008269203,0.0237086939414797
Free Cholesterol in Large VLDL,0.0494060847111084,0.0257487652348438
Triglycerides in Large VLDL,0.1796824792743793,0.1001841383781337
Concentration of Medium VLDL Particles,3.621037929464611e-05,1.2493930480352257e-05
Total Lipids in Medium VLDL,0.6045142419398445,0.2134995755418223
Phospholipids in Medium VLDL,0.1342110538674705,0.0482621200867895
Cholesterol in Medium VLDL,0.1762580639504158,0.0657935049953385
Cholesteryl Esters in Medium VLDL,0.0941365485615506,0.0383899152275982
Free Cholesterol in Medium VLDL,0.082121512732184,0.0297377562970781
Triglycerides in Medium VLDL,0.2940451197366183,0.1246775741806738
Concentration of Small VLDL Particles,4.110109999392984e-05,1.32623252243617e-05
Total Lipids in Small VLDL,0.4305389420025313,0.134154184741021
Phospholipids in Small VLDL,0.1010290247661618,0.0304864837882314
Cholesterol in Small VLDL,0.1617776343253217,0.0517769806924712
Cholesteryl Esters in Small VLDL,0.1010567508567743,0.0331219204368173
Free Cholesterol in Small VLDL,0.0607208837966614,0.01905544023466
Triglycerides in Small VLDL,0.167732289932536,0.0641386991801277
Concentration of Very Small VLDL Particles,5.571349755675609e-05,1.3787312040557042e-05
Total Lipids in Very Small VLDL,0.3645435604737343,0.0895013471121727
Phospholipids in Very Small VLDL,0.1067030089555086,0.0267488998200133
Cholesterol in Very Small VLDL,0.1861030633117275,0.0497578563323522
Cholesteryl Esters in Very Small VLDL,0.1276020060671695,0.0354799994469702
Free Cholesterol in Very Small VLDL,0.0585010683471864,0.0149529702457054
Triglycerides in Very Small VLDL,0.0717374867373922,0.0221786738821072
Concentration of IDL Particles,0.0003114409498968,7.654512108562081e-05
Total Lipids in IDL,1.2469178171784627,0.2933425158589946
Phospholipids in IDL,0.2961848953355135,0.0672718857057081
Cholesterol in IDL,0.8480440416637128,0.2173201234682949
Cholesteryl Esters in IDL,0.626737633487374,0.1616762798228692
Free Cholesterol in IDL,0.2213064305120159,0.0569902480022233
Triglycerides in IDL,0.1026888433091447,0.0271001004912331
